timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_time,end_time,include_exceptions,timetable_label,service_notes,orientation,timetable_page_id,timetable_sequence,direction_name,show_trip_continuation
36,4,0,20260701,20260831,1,1,1,1,1,1,1,"","",0,korrik dhe gusht,"",horizontal,4_3B,3,Kashar Antiorar,0
37,4,0,20260901,20261231,0,0,0,0,0,1,1,"","",0,nga shtator deri në dhjetor,"",horizontal,4_3B,4,Kashar Antiorar,0
38,4,0,20260901,20261231,1,1,1,1,1,0,0,"","",0,nga shtator deri në dhjetor,"",horizontal,4_3B,5,Kashar Antiorar,0
39,5,0,20260101,20260630,1,1,1,1,1,0,0,"","",0,nga janari deri në qershor,"",horizontal,5_4,1,nga Muzeu Kombëtar B deri ne City Park,0
40,5,0,20260101,20260630,0,0,0,0,0,1,1,"","",0,nga janari deri në qershor,"",horizontal,5_4,2,nga Muzeu Kombëtar B deri ne City Park,0
41,5,1,20260101,20260630,1,1,1,1,1,0,0,"","",0,nga janari deri në qershor,"",horizontal,5_4,3,nga City Park deri ne Muzeu Kombëtar B,0
42,5,1,20260101,20260630,0,0,0,0,0,1,1,"","",0,nga janari deri në qershor,"",horizontal,5_4,4,nga City Park deri ne Muzeu Kombëtar B,0
43,5,0,20260701,20260831,0,0,0,0,0,1,1,"","",0,korrik dhe gusht,"",horizontal,5_4,5,nga Muzeu Kombëtar B deri ne City Park,0
44,5,0,20260701,20260831,1,1,1,1,1,0,0,"","",0,korrik dhe gusht,"",horizontal,5_4,6,nga Muzeu Kombëtar B deri ne City Park,0
45,5,1,20260701,20260831,0,0,0,0,0,1,1,"","",0,korrik dhe gusht,"",horizontal,5_4,7,nga City Park deri ne Muzeu Kombëtar B,0
46,5,1,20260701,20260831,1,1,1,1,1,0,0,"","",0,korrik dhe gusht,"",horizontal,5_4,8,nga City Park deri ne Muzeu Kombëtar B,0
47,5,0,20260901,20261231,1,1,1,1,1,0,0,"","",0,nga shtator deri në dhjetor,"",horizontal,5_4,9,nga Muzeu Kombëtar B deri ne City Park,0
48,5,0,20260901,20261231,0,0,0,0,0,1,1,"","",0,nga shtator deri në dhjetor,"",horizontal,5_4,10,nga Muzeu Kombëtar B deri ne City Park,0
49,5,1,20260901,20261231,1,1,1,1,1,0,0,"","",0,nga shtator deri në dhjetor,"",horizontal,5_4,11,nga City Park deri ne Muzeu Kombëtar B,0
50,5,1,20260901,20261231,0,0,0,0,0,1,1,"","",0,nga shtator deri në dhjetor,"",horizontal,5_4,12,nga City Park deri ne Muzeu Kombëtar B,0
51,6,0,20260101,20260630,0,0,0,0,0,0,1,"","",0,nga janari deri në qershor,"",horizontal,6_5A,1,nga Autotraktorët deri ne 9 Katëshet B,0
52,6,0,20260101,20260630,1,1,1,1,1,0,0,"","",0,nga janari deri në qershor,"",horizontal,6_5A,2,nga Autotraktorët deri ne 9 Katëshet B,0
53,6,0,20260101,20260630,0,0,0,0,0,1,0,"","",0,nga janari deri në qershor,"",horizontal,6_5A,3,nga Autotraktorët deri ne 9 Katëshet B,0
54,6,1,20260101,20260630,0,0,0,0,0,0,1,"","",0,nga janari deri në qershor,"",horizontal,6_5A,4,nga 9 Katëshet B deri ne Autotraktorët,0
55,6,1,20260101,20260630,1,1,1,1,1,0,0,"","",0,nga janari deri në qershor,"",horizontal,6_5A,5,nga 9 Katëshet B deri ne Autotraktorët,0
56,6,1,20260101,20260630,0,0,0,0,0,1,0,"","",0,nga janari deri në qershor,"",horizontal,6_5A,6,nga 9 Katëshet B deri ne Autotraktorët,0
57,6,0,20260701,20260831,1,1,1,1,1,1,1,"","",0,korrik dhe gusht,"",horizontal,6_5A,7,nga Autotraktorët deri ne 9 Katëshet B,0
58,6,1,20260701,20260831,1,1,1,1,1,1,1,"","",0,korrik dhe gusht,"",horizontal,6_5A,8,nga 9 Katëshet B deri ne Autotraktorët,0
59,6,0,20260901,20261231,0,0,0,0,0,0,1,"","",0,nga shtator deri në dhjetor,"",horizontal,6_5A,9,nga Autotraktorët deri ne 9 Katëshet B,0
60,6,0,20260901,20261231,1,1,1,1,1,0,0,"","",0,nga shtator deri në dhjetor,"",horizontal,6_5A,10,nga Autotraktorët deri ne 9 Katëshet B,0
61,6,0,20260901,20261231,0,0,0,0,0,1,0,"","",0,nga shtator deri në dhjetor,"",horizontal,6_5A,11,nga Autotraktorët deri ne 9 Katëshet B,0
62,6,1,20260901,20261231,0,0,0,0,0,0,1,"","",0,nga shtator deri në dhjetor,"",horizontal,6_5A,12,nga 9 Katëshet B deri ne Autotraktorët,0
63,6,1,20260901,20261231,1,1,1,1,1,0,0,"","",0,nga shtator deri në dhjetor,"",horizontal,6_5A,13,nga 9 Katëshet B deri ne Autotraktorët,0
64,6,1,20260901,20261231,0,0,0,0,0,1,0,"","",0,nga shtator deri në dhjetor,"",horizontal,6_5A,14,nga 9 Katëshet B deri ne Autotraktorët,0
65,7,0,20260101,20260630,0,0,0,0,0,1,1,"","",0,nga janari deri në qershor,"",horizontal,7_5B,1,nga Instituti Bujqësor deri ne Gjethja,0
66,7,0,20260101,20260630,1,1,1,1,1,0,0,"","",0,nga janari deri në qershor,"",horizontal,7_5B,2,nga Instituti Bujqësor deri ne Gjethja,0
67,7,1,20260101,20260630,0,0,0,0,0,1,1,"","",0,nga janari deri në qershor,"",horizontal,7_5B,3,nga Gjethja deri ne Instituti Bujqësor,0
68,7,1,20260101,20260630,1,1,1,1,1,0,0,"","",0,nga janari deri në qershor,"",horizontal,7_5B,4,nga Gjethja deri ne Instituti Bujqësor,0
69,7,0,20260701,20260831,0,0,0,0,0,1,1,"","",0,korrik dhe gusht,"",horizontal,7_5B,5,nga Instituti Bujqësor deri ne Gjethja,0
70,7,0,20260701,20260831,1,1,1,1,1,0,0,"","",0,korrik dhe gusht,"",horizontal,7_5B,6,nga Instituti Bujqësor deri ne Gjethja,0
71,7,1,20260701,20260831,0,0,0,0,0,1,1,"","",0,korrik dhe gusht,"",horizontal,7_5B,7,nga Gjethja deri ne Instituti Bujqësor,0
72,7,1,20260701,20260831,1,1,1,1,1,0,0,"","",0,korrik dhe gusht,"",horizontal,7_5B,8,nga Gjethja deri ne Instituti Bujqësor,0
73,7,0,20260901,20261231,0,0,0,0,0,1,1,"","",0,nga shtator deri në dhjetor,"",horizontal,7_5B,9,nga Instituti Bujqësor deri ne Gjethja,0
74,7,0,20260901,20261231,1,1,1,1,1,0,0,"","",0,nga shtator deri në dhjetor,"",horizontal,7_5B,10,nga Instituti Bujqësor deri ne Gjethja,0
75,7,1,20260901,20261231,0,0,0,0,0,1,1,"","",0,nga shtator deri në dhjetor,"",horizontal,7_5B,11,nga Gjethja deri ne Instituti Bujqësor,0
76,7,1,20260901,20261231,1,1,1,1,1,0,0,"","",0,nga shtator deri në dhjetor,"",horizontal,7_5B,12,nga Gjethja deri ne Instituti Bujqësor,0
77,10,0,20260101,20260630,0,0,0,0,0,1,1,"","",0,nga janari deri në qershor,"",horizontal,10_8ABC,1,nga 9 Katëshet B deri ne Terminali Juglindor,0
78,10,0,20260101,20260630,1,1,1,1,1,0,0,"","",0,nga janari deri në qershor,"",horizontal,10_8ABC,2,nga 9 Katëshet B deri ne Terminali Juglindor,0
79,10,1,20260101,20260630,0,0,0,0,0,1,1,"","",0,nga janari deri në qershor,"",horizontal,10_8ABC,3,nga Terminali Juglindor deri ne 9 Katëshet B,0
80,10,1,20260101,20260630,1,1,1,1,1,0,0,"","",0,nga janari deri në qershor,"",horizontal,10_8ABC,4,nga Terminali Juglindor deri ne 9 Katëshet B,0
81,10,0,20260701,20260831,0,0,0,0,0,1,1,"","",0,korrik dhe gusht,"",horizontal,10_8ABC,5,nga 9 Katëshet B deri ne Terminali Juglindor,0
82,10,0,20260701,20260831,1,1,1,1,1,0,0,"","",0,korrik dhe gusht,"",horizontal,10_8ABC,6,nga 9 Katëshet B deri ne Terminali Juglindor,0
83,10,1,20260701,20260831,0,0,0,0,0,1,1,"","",0,korrik dhe gusht,"",horizontal,10_8ABC,7,nga Terminali Juglindor deri ne 9 Katëshet B,0
84,10,1,20260701,20260831,1,1,1,1,1,0,0,"","",0,korrik dhe gusht,"",horizontal,10_8ABC,8,nga Terminali Juglindor deri ne 9 Katëshet B,0
85,10,0,20260901,20261231,0,0,0,0,0,1,1,"","",0,nga shtator deri në dhjetor,"",horizontal,10_8ABC,9,nga 9 Katëshet B deri ne Terminali Juglindor,0
86,10,0,20260901,20261231,1,1,1,1,1,0,0,"","",0,nga shtator deri në dhjetor,"",horizontal,10_8ABC,10,nga 9 Katëshet B deri ne Terminali Juglindor,0
87,10,1,20260901,20261231,0,0,0,0,0,1,1,"","",0,nga shtator deri në dhjetor,"",horizontal,10_8ABC,11,nga Terminali Juglindor deri ne 9 Katëshet B,0
88,10,1,20260901,20261231,1,1,1,1,1,0,0,"","",0,nga shtator deri në dhjetor,"",horizontal,10_8ABC,12,nga Terminali Juglindor deri ne 9 Katëshet B,0
89,11,0,20260101,20260630,0,0,0,0,0,1,1,"","",0,nga janari deri në qershor,"",horizontal,11_8ABC,1,nga 9 Katëshet B deri ne Sanatorium,0
90,11,0,20260101,20260630,1,1,1,1,1,0,0,"","",0,nga janari deri në qershor,"",horizontal,11_8ABC,2,nga 9 Katëshet B deri ne Sanatorium,0
91,11,1,20260101,20260630,0,0,0,0,0,1,1,"","",0,nga janari deri në qershor,"",horizontal,11_8ABC,3,nga Sanatorium deri ne 9 Katëshet B,0
92,11,1,20260101,20260630,1,1,1,1,1,0,0,"","",0,nga janari deri në qershor,"",horizontal,11_8ABC,4,nga Sanatorium deri ne 9 Katëshet B,0
93,11,0,20260701,20260831,0,0,0,0,0,1,1,"","",0,korrik dhe gusht,"",horizontal,11_8ABC,5,nga 9 Katëshet B deri ne Sanatorium,0
94,11,0,20260701,20260831,1,1,1,1,1,0,0,"","",0,korrik dhe gusht,"",horizontal,11_8ABC,6,nga 9 Katëshet B deri ne Sanatorium,0
95,11,1,20260701,20260831,0,0,0,0,0,1,1,"","",0,korrik dhe gusht,"",horizontal,11_8ABC,7,nga Sanatorium deri ne 9 Katëshet B,0
96,11,1,20260701,20260831,1,1,1,1,1,0,0,"","",0,korrik dhe gusht,"",horizontal,11_8ABC,8,nga Sanatorium deri ne 9 Katëshet B,0
97,11,0,20260901,20261231,0,0,0,0,0,1,1,"","",0,nga shtator deri në dhjetor,"",horizontal,11_8ABC,9,nga 9 Katëshet B deri ne Sanatorium,0
98,11,0,20260901,20261231,1,1,1,1,1,0,0,"","",0,nga shtator deri në dhjetor,"",horizontal,11_8ABC,10,nga 9 Katëshet B deri ne Sanatorium,0
99,11,1,20260901,20261231,0,0,0,0,0,1,1,"","",0,nga shtator deri në dhjetor,"",horizontal,11_8ABC,11,nga Sanatorium deri ne 9 Katëshet B,0
100,11,1,20260901,20261231,1,1,1,1,1,0,0,"","",0,nga shtator deri në dhjetor,"",horizontal,11_8ABC,12,nga Sanatorium deri ne 9 Katëshet B,0
101,12,0,20260101,20260630,0,0,0,0,0,1,1,"","",0,nga janari deri në qershor,"",horizontal,12_8ABC,1,nga 9 Katëshet B deri ne Sauk i Vjeter,0
102,12,0,20260101,20260630,1,1,1,1,1,0,0,"","",0,nga janari deri në qershor,"",horizontal,12_8ABC,2,nga 9 Katëshet B deri ne Sauk i Vjeter,0
103,12,1,20260101,20260630,0,0,0,0,0,1,1,"","",0,nga janari deri në qershor,"",horizontal,12_8ABC,3,nga Sauk i Vjeter deri ne 9 Katëshet B,0
104,12,1,20260101,20260630,1,1,1,1,1,0,0,"","",0,nga janari deri në qershor,"",horizontal,12_8ABC,4,nga Sauk i Vjeter deri ne 9 Katëshet B,0
105,12,0,20260701,20260831,0,0,0,0,0,1,1,"","",0,korrik dhe gusht,"",horizontal,12_8ABC,5,nga 9 Katëshet B deri ne Sauk i Vjeter,0
106,12,0,20260701,20260831,1,1,1,1,1,0,0,"","",0,korrik dhe gusht,"",horizontal,12_8ABC,6,nga 9 Katëshet B deri ne Sauk i Vjeter,0
107,12,1,20260701,20260831,0,0,0,0,0,1,1,"","",0,korrik dhe gusht,"",horizontal,12_8ABC,7,nga Sauk i Vjeter deri ne 9 Katëshet B,0
108,12,1,20260701,20260831,1,1,1,1,1,0,0,"","",0,korrik dhe gusht,"",horizontal,12_8ABC,8,nga Sauk i Vjeter deri ne 9 Katëshet B,0
109,12,0,20260901,20261231,0,0,0,0,0,1,1,"","",0,nga shtator deri në dhjetor,"",horizontal,12_8ABC,9,nga 9 Katëshet B deri ne Sauk i Vjeter,0
110,12,0,20260901,20261231,1,1,1,1,1,0,0,"","",0,nga shtator deri në dhjetor,"",horizontal,12_8ABC,10,nga 9 Katëshet B deri ne Sauk i Vjeter,0
111,12,1,20260901,20261231,0,0,0,0,0,1,1,"","",0,nga shtator deri në dhjetor,"",horizontal,12_8ABC,11,nga Sauk i Vjeter deri ne 9 Katëshet B,0
112,12,1,20260901,20261231,1,1,1,1,1,0,0,"","",0,nga shtator deri në dhjetor,"",horizontal,12_8ABC,12,nga Sauk i Vjeter deri ne 9 Katëshet B,0
113,13,0,20260101,20260630,1,1,1,1,1,0,0,"","",0,nga janari deri në qershor,"",horizontal,13_9AB,1,nga Depo Ujit A deri ne Uzina Dinamo,0
114,13,0,20260101,20260630,0,0,0,0,0,1,1,"","",0,nga janari deri në qershor,"",horizontal,13_9AB,2,nga Depo Ujit A deri ne Uzina Dinamo,0
115,13,1,20260101,20260630,1,1,1,1,1,0,0,"","",0,nga janari deri në qershor,"",horizontal,13_9AB,3,nga Uzina Dinamo deri ne Depo Ujit A,0
116,13,1,20260101,20260630,0,0,0,0,0,1,1,"","",0,nga janari deri në qershor,"",horizontal,13_9AB,4,nga Uzina Dinamo deri ne Depo Ujit A,0
117,13,0,20260701,20260831,1,1,1,1,1,1,1,"","",0,korrik dhe gusht,"",horizontal,13_9AB,5,nga Depo Ujit A deri ne Uzina Dinamo,0
118,13,1,20260701,20260831,1,1,1,1,1,1,1,"","",0,korrik dhe gusht,"",horizontal,13_9AB,6,nga Uzina Dinamo deri ne Depo Ujit A,0
119,13,0,20260901,20261231,1,1,1,1,1,0,0,"","",0,nga shtator deri në dhjetor,"",horizontal,13_9AB,7,nga Depo Ujit A deri ne Uzina Dinamo,0
120,13,0,20260901,20261231,0,0,0,0,0,1,1,"","",0,nga shtator deri në dhjetor,"",horizontal,13_9AB,8,nga Depo Ujit A deri ne Uzina Dinamo,0
121,13,1,20260901,20261231,1,1,1,1,1,0,0,"","",0,nga shtator deri në dhjetor,"",horizontal,13_9AB,9,nga Uzina Dinamo deri ne Depo Ujit A,0
122,13,1,20260901,20261231,0,0,0,0,0,1,1,"","",0,nga shtator deri në dhjetor,"",horizontal,13_9AB,10,nga Uzina Dinamo deri ne Depo Ujit A,0
123,14,0,20260101,20260630,1,1,1,1,1,0,0,"","",0,nga janari deri në qershor,"",horizontal,14_9AB,1,nga Binak Alia deri ne Uzina Dinamo,0
124,14,0,20260101,20260630,0,0,0,0,0,1,1,"","",0,nga janari deri në qershor,"",horizontal,14_9AB,2,nga Binak Alia deri ne Uzina Dinamo,0
125,14,1,20260101,20260630,1,1,1,1,1,0,0,"","",0,nga janari deri në qershor,"",horizontal,14_9AB,3,nga Uzina Dinamo deri ne Binak Alia,0
126,14,1,20260101,20260630,0,0,0,0,0,1,1,"","",0,nga janari deri në qershor,"",horizontal,14_9AB,4,nga Uzina Dinamo deri ne Binak Alia,0
127,14,0,20260701,20260831,1,1,1,1,1,1,1,"","",0,korrik dhe gusht,"",horizontal,14_9AB,5,nga Binak Alia deri ne Uzina Dinamo,0
128,14,1,20260701,20260831,1,1,1,1,1,1,1,"","",0,korrik dhe gusht,"",horizontal,14_9AB,6,nga Uzina Dinamo deri ne Binak Alia,0
129,14,0,20260901,20261231,1,1,1,1,1,0,0,"","",0,nga shtator deri në dhjetor,"",horizontal,14_9AB,7,nga Binak Alia deri ne Uzina Dinamo,0
130,14,0,20260901,20261231,0,0,0,0,0,1,1,"","",0,nga shtator deri në dhjetor,"",horizontal,14_9AB,8,nga Binak Alia deri ne Uzina Dinamo,0
131,14,1,20260901,20261231,1,1,1,1,1,0,0,"","",0,nga shtator deri në dhjetor,"",horizontal,14_9AB,9,nga Uzina Dinamo deri ne Binak Alia,0
132,14,1,20260901,20261231,0,0,0,0,0,1,1,"","",0,nga shtator deri në dhjetor,"",horizontal,14_9AB,10,nga Uzina Dinamo deri ne Binak Alia,0
133,15,0,20260101,20261231,1,1,1,1,1,1,1,"","",0,gjithë vitin,"",horizontal,15_,1,nga Depo Ujit B deri ne Dollari B,0
134,15,1,20260101,20261231,1,1,1,1,1,1,1,"","",0,gjithë vitin,"",horizontal,15_,2,nga Dollari B deri ne Depo Ujit B,0
135,15,0,20260701,20260831,1,1,1,1,1,1,1,"","",0,korrik dhe gusht,"",horizontal,15_,3,nga Depo Ujit B deri ne Dollari B,0
136,15,1,20260701,20260831,1,1,1,1,1,1,1,"","",0,korrik dhe gusht,"",horizontal,15_,4,nga Dollari B deri ne Depo Ujit B,0
137,16,0,20260101,20261231,1,1,1,1,1,1,1,"","",0,gjithë vitin,"",horizontal,16_,1,nga Çollakët deri ne Dollari B,0
138,16,1,20260101,20261231,1,1,1,1,1,1,1,"","",0,gjithë vitin,"",horizontal,16_,2,nga Dollari B deri ne Çollakët,0
139,16,0,20260701,20260831,1,1,1,1,1,1,1,"","",0,korrik dhe gusht,"",horizontal,16_,3,nga Çollakët deri ne Dollari B,0
140,16,1,20260701,20260831,1,1,1,1,1,1,1,"","",0,korrik dhe gusht,"",horizontal,16_,4,nga Dollari B deri ne Çollakët,0
141,17,0,20260101,20261231,1,1,1,1,1,0,0,"","",0,gjithë vitin,"",horizontal,17_,1,nga Shkozë deri ne Dhora Leka,0
142,17,0,20260101,20261231,0,0,0,0,0,1,1,"","",0,gjithë vitin,"",horizontal,17_,2,nga Shkozë deri ne Dhora Leka,0
143,17,1,20260101,20261231,1,1,1,1,1,0,0,"","",0,gjithë vitin,"",horizontal,17_,3,nga Dhora Leka deri ne Shkozë,0
144,17,1,20260101,20261231,0,0,0,0,0,1,1,"","",0,gjithë vitin,"",horizontal,17_,4,nga Dhora Leka deri ne Shkozë,0
145,17,0,20260701,20260831,1,1,1,1,1,1,1,"","",0,korrik dhe gusht,"",horizontal,17_,5,nga Shkozë deri ne Dhora Leka,0
146,17,1,20260701,20260831,1,1,1,1,1,1,1,"","",0,korrik dhe gusht,"",horizontal,17_,6,nga Dhora Leka deri ne Shkozë,0
